Customer_ID,Product,Date_of_Purchase,Frequency,Annual_Income,Gender,Age_Group,Region,Price,Category,Brand,Days_Since_Last_Purchase,Gender_Label,Age_Group_Label,Region_Label,Category_Label,Brand_Label
CUST_038,PROD_004,2024-02-15,1,70000,Female,26-35,East,666.04,Electronics,BrandA,464,0,1,0,1,0
CUST_028,PROD_006,2024-02-03,3,70000,Male,36-45,West,101.36,Sports,BrandA,476,1,2,3,3,0
CUST_014,PROD_003,2024-03-18,2,30000,Female,18-25,East,600.36,Electronics,BrandA,432,0,0,0,1,0
CUST_042,PROD_000,2024-08-05,4,30000,Female,46-55,North,554.09,Electronics,BrandD,292,0,3,1,1,3
CUST_007,PROD_013,2024-10-27,5,50000,Male,26-35,East,901.32,Home,BrandC,209,1,1,0,2,2
CUST_020,PROD_013,2024-03-13,1,70000,Male,36-45,South,410.2,Electronics,BrandA,437,1,2,2,1,0
CUST_038,PROD_004,2024-10-08,5,70000,Male,18-25,East,327.87,Home,BrandA,228,1,0,0,2,0
CUST_018,PROD_006,2024-09-05,2,30000,Male,18-25,East,752.35,Sports,BrandD,261,1,0,0,3,3
CUST_022,PROD_009,2024-02-16,5,70000,Male,46-55,North,418.55,Sports,BrandC,463,1,3,1,3,2
CUST_010,PROD_009,2024-04-30,1,90000,Male,36-45,East,649.64,Electronics,BrandA,389,1,2,0,1,0
CUST_010,PROD_005,2024-08-01,2,30000,Female,26-35,East,649.99,Clothing,BrandB,296,0,1,0,0,1
CUST_023,PROD_004,2024-08-26,5,50000,Female,46-55,West,889.16,Home,BrandD,271,0,3,3,2,3
CUST_035,PROD_003,2024-02-25,4,30000,Female,26-35,West,602.71,Home,BrandA,454,0,1,3,2,0
CUST_039,PROD_001,2024-12-15,2,70000,Male,18-25,South,507.13,Electronics,BrandA,160,1,0,2,1,0
CUST_023,PROD_003,2024-04-16,2,50000,Female,26-35,West,147.48,Home,BrandB,403,0,1,3,2,1
CUST_002,PROD_014,2024-11-14,4,30000,Female,26-35,West,124.58,Home,BrandB,191,0,1,3,2,1
CUST_021,PROD_009,2024-02-17,3,90000,Female,46-55,West,162.78,Clothing,BrandD,462,0,3,3,0,3
CUST_001,PROD_009,2024-03-01,1,90000,Female,26-35,West,180.13,Clothing,BrandD,449,0,1,3,0,3
CUST_023,PROD_002,2024-12-02,3,30000,Female,46-55,North,641.5,Electronics,BrandB,173,0,3,1,1,1
CUST_043,PROD_009,2024-01-26,5,90000,Male,18-25,West,743.57,Clothing,BrandD,484,1,0,3,0,3
CUST_029,PROD_000,2024-10-18,4,90000,Male,46-55,North,534.69,Electronics,BrandB,218,1,3,1,1,1
CUST_037,PROD_007,2024-09-13,3,90000,Female,46-55,North,830.73,Sports,BrandA,253,0,3,1,3,0
CUST_001,PROD_004,2024-01-08,2,50000,Female,36-45,West,991.35,Electronics,BrandB,502,0,2,3,1,1
CUST_020,PROD_012,2024-04-22,5,90000,Female,26-35,East,821.81,Sports,BrandB,397,0,1,0,3,1
CUST_032,PROD_003,2024-12-20,5,90000,Male,18-25,North,697.93,Electronics,BrandC,155,1,0,1,1,2
CUST_011,PROD_007,2024-09-09,3,90000,Male,46-55,East,537.17,Home,BrandB,257,1,3,0,2,1
CUST_021,PROD_006,2024-06-28,3,50000,Female,18-25,East,454.36,Clothing,BrandB,330,0,0,0,0,1
CUST_043,PROD_001,2024-07-25,4,30000,Male,36-45,West,93.55,Sports,BrandC,303,1,2,3,3,2
CUST_024,PROD_000,2024-10-29,1,70000,Male,26-35,South,405.38,Electronics,BrandD,207,1,1,2,1,3
CUST_048,PROD_011,2024-05-06,3,90000,Female,46-55,West,911.03,Clothing,BrandC,383,0,3,3,0,2
CUST_026,PROD_010,2024-02-25,3,30000,Male,26-35,South,809.94,Electronics,BrandA,454,1,1,2,1,0
CUST_041,PROD_003,2024-08-01,2,90000,Male,36-45,South,223.89,Clothing,BrandC,296,1,2,2,0,2
CUST_027,PROD_007,2024-01-14,5,50000,Female,36-45,West,471.94,Clothing,BrandA,496,0,2,3,0,0
CUST_015,PROD_011,2024-01-28,1,30000,Male,18-25,West,818.56,Electronics,BrandD,482,1,0,3,1,3
CUST_014,PROD_001,2024-03-18,2,50000,Male,46-55,South,76.71,Sports,BrandC,432,1,3,2,3,2
CUST_046,PROD_002,2024-08-03,4,90000,Female,18-25,West,393.52,Sports,BrandC,294,0,0,3,3,2
CUST_043,PROD_011,2024-12-30,4,90000,Male,36-45,South,853.32,Home,BrandD,145,1,2,2,2,3
CUST_002,PROD_000,2024-06-02,3,50000,Male,26-35,East,409.86,Clothing,BrandA,356,1,1,0,0,0
CUST_036,PROD_000,2024-01-14,3,70000,Female,18-25,West,86.84,Home,BrandC,496,0,0,3,2,2
CUST_006,PROD_012,2024-07-05,4,50000,Female,18-25,East,547.11,Home,BrandA,323,0,0,0,2,0
CUST_020,PROD_002,2024-11-07,3,90000,Female,26-35,North,863.13,Electronics,BrandC,198,0,1,1,1,2
CUST_008,PROD_010,2024-01-07,1,50000,Male,18-25,East,594.38,Electronics,BrandB,503,1,0,0,1,1
CUST_038,PROD_004,2024-01-03,3,70000,Female,26-35,East,234.02,Electronics,BrandC,507,0,1,0,1,2
CUST_017,PROD_011,2024-04-20,5,50000,Male,46-55,South,390.4,Clothing,BrandD,399,1,3,2,0,3
CUST_003,PROD_002,2024-08-25,3,70000,Female,26-35,East,455.62,Electronics,BrandD,272,0,1,0,1,3
CUST_024,PROD_000,2024-12-28,2,70000,Male,46-55,West,583.47,Electronics,BrandA,147,1,3,3,1,0
CUST_013,PROD_000,2024-08-26,1,50000,Female,26-35,South,761.76,Clothing,BrandC,271,0,1,2,0,2
CUST_049,PROD_007,2024-09-30,2,50000,Female,36-45,North,107.88,Clothing,BrandA,236,0,2,1,0,0
CUST_008,PROD_009,2024-10-20,2,30000,Female,36-45,West,890.76,Sports,BrandA,216,0,2,3,3,0
CUST_025,PROD_010,2024-08-14,5,90000,Female,46-55,North,22.19,Electronics,BrandB,283,0,3,1,1,1
CUST_001,PROD_011,2024-01-15,1,70000,Male,46-55,East,376.35,Electronics,BrandB,495,1,3,0,1,1
CUST_019,PROD_012,2024-07-10,1,30000,Female,36-45,West,37.15,Electronics,BrandD,318,0,2,3,1,3
CUST_027,PROD_012,2024-04-28,1,50000,Female,46-55,West,399.04,Sports,BrandA,391,0,3,3,3,0
CUST_046,PROD_011,2024-01-28,1,90000,Male,26-35,North,530.55,Electronics,BrandD,482,1,1,1,1,3
CUST_006,PROD_014,2024-07-20,1,30000,Female,26-35,West,516.56,Sports,BrandC,308,0,1,3,3,2
CUST_043,PROD_013,2024-02-08,5,70000,Male,36-45,West,173.97,Home,BrandA,471,1,2,3,2,0
